City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
323,Dudinka,RU,69.4058,86.1778,56.62,61,84,10.74,broken clouds
324,Valparaiso,CL,-33.0393,-71.6273,53.47,79,20,3.44,few clouds
325,Skole,UA,49.0372,23.5135,55.92,88,98,0.96,overcast clouds
326,Chicama,PE,-7.8447,-79.1469,59.54,85,41,7.18,scattered clouds
327,Balkhash,KZ,46.844,74.9804,81.21,26,0,8.95,clear sky
328,Antofagasta,CL,-23.65,-70.4,56.48,84,88,7.99,overcast clouds
329,Hithadhoo,MV,-0.6,73.0833,82.42,73,100,12.26,overcast clouds
330,Sai Buri,TH,6.7013,101.6168,81.97,64,39,1.63,scattered clouds
331,Inhambane,MZ,-23.865,35.3833,63.41,80,2,5.19,clear sky
332,Uvat,RU,59.1433,68.8953,60.71,67,100,10.85,overcast clouds
333,Port Blair,IN,11.6667,92.75,84.24,79,75,3.44,broken clouds
334,Guerrero Negro,MX,27.9769,-114.0611,68.79,82,57,15.32,broken clouds
335,Bull Savanna,JM,17.8868,-77.5902,76.35,85,57,5.46,broken clouds
336,Maple Creek,CA,49.9168,-109.4848,77.05,29,2,4.61,clear sky
337,Onguday,RU,50.75,86.15,68.56,58,6,2.66,clear sky
338,Kimbe,PG,-5.5502,150.1429,90.5,54,23,6.44,few clouds
339,Marquette,US,46.5333,-87.6335,63.84,92,76,5.48,broken clouds
340,Pafos,CY,34.7667,32.4167,74.98,43,0,5.75,clear sky
341,Amga,RU,60.8953,131.9608,87.37,38,5,1.99,clear sky
342,Banepa,NP,27.6298,85.5214,68.32,94,100,3.44,overcast clouds
343,Michigan City,US,41.7075,-86.895,72.12,97,75,0.0,broken clouds
344,Brae,GB,60.3964,-1.353,51.48,80,67,6.82,broken clouds
