City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
466,Culpeper,US,77.92,clear sky,38.5004,-77.9664,Suites at 249
469,Albanel,CA,66.34,overcast clouds,48.8832,-72.4487,Camping municipal d'Albanel
470,Pervomayskoye,RU,70.16,few clouds,43.919,46.7102,
471,Pochutla,MX,80.42,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
472,Kharp,RU,66.52,overcast clouds,66.8014,65.8081,"Hotel ""Sob"""
474,Khanpur,PK,88.5,overcast clouds,28.6453,70.6567,Ahmad Bartan store
475,Xinyang,CN,82.18,moderate rain,32.1228,114.0656,Jinjiang Inn Style Xinyang Dongfanghong Avenue Culture Center
476,Dongsheng,CN,77.34,clear sky,39.8161,109.9776,Crowne Plaza Ordos
477,Cockburn Town,TC,81.23,clear sky,21.4612,-71.1419,Osprey Beach Hotel
478,Kloulklubed,PW,84.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
479,Yuanping,CN,77.58,clear sky,38.7153,112.7575,Yuanping Xinghe Guesthouse
480,Kalat,PK,71.29,overcast clouds,29.0225,66.5916,PHE Rest House
481,Komsomolskiy,UZ,86.72,clear sky,40.4272,71.7189,Ikathouse
482,Puerto Narino,CO,72.66,scattered clouds,-3.7703,-70.3831,Eware Refugio Amazonico
483,Braganca,BR,72.37,scattered clouds,-1.0536,-46.7656,Marujo's Suíte Hotel
485,Altay,CN,77.41,few clouds,47.8667,88.1167,Jinqiao Hotel
486,Seoul,KR,88.99,few clouds,37.5683,126.9778,LOTTE HOTEL SEOUL
487,Alihe,CN,75.54,moderate rain,50.5667,123.7167,Alihe Forestry Hotel
488,Maragogi,BR,71.4,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
489,Araouane,ML,94.77,clear sky,18.9048,-3.5265,
490,Thinadhoo,MV,83.17,overcast clouds,0.5333,72.9333,
491,Gloversville,US,68.11,scattered clouds,43.0528,-74.3438,"Holiday Inn Johnstown-Gloversville, an IHG Hotel"
492,Dakar,SN,79.68,broken clouds,14.6937,-17.4441,Novotel Dakar
493,Impfondo,CG,69.73,light rain,1.6381,18.0667,Auberge La Place de Jules
495,Zharkent,KZ,91.99,scattered clouds,44.1628,80.0,гостиница Satti
498,Avera,US,82.54,broken clouds,33.194,-82.5271,
499,Emba,KZ,70.86,few clouds,48.8264,58.1442,
500,Arak,IR,78.96,scattered clouds,34.0917,49.6892,Zagros Hotel
501,Bushehr,IR,91.49,broken clouds,28.9684,50.8385,Yas Hotel
